"id","descuento","total","propina_total","propina","modo_pago","fecha_hora_venta"
ab962723-7607-4f8a-89d6-10db592d190d,28.00,532.00,532.00,54.00,TARJETA_CREDITO,"2023-01-03 16:49:36"
"09c7196c-1154-4ce6-978c-57a759789f46",0.00,399.00,399.00,60.00,TARJETA_CREDITO,"2023-01-03 16:50:39"
"7042b976-e598-4284-acb2-463373d42966",14.95,284.05,284.05,0.00,TARJETA_DEBITO,"2023-01-03 16:51:50"
"10405896-1de8-4943-84c7-0148cf466c12",0.00,339.00,339.00,41.00,TARJETA_DEBITO,"2023-01-03 16:59:12"
af9627cd-0c7b-4a4d-8ca7-522218e267ee,16.45,312.55,312.55,0.00,EFECTIVO,"2023-01-03 17:01:31"
"97044c25-8e2b-4dc1-95a6-d2141f9d918c",0.00,290.00,290.00,50.00,TARJETA_DEBITO,"2023-01-03 17:02:18"
"6261fc6d-71cb-458a-9958-5b2c824dd8aa",0.00,1519.00,1519.00,0.00,EFECTIVO,"2023-01-03 17:05:58"
"370a106c-1d9f-4a45-8c43-812bc4ce91ed",0.00,90.00,90.00,0.00,EFECTIVO,"2023-01-03 17:31:20"
"09c7196c-1154-4ce6-978c-57a759789f46",0.00,180.00,180.00,0.00,TARJETA_DEBITO,"2023-01-03 17:32:01"
"09c7196c-1154-4ce6-978c-57a759789f46",0.00,75.00,75.00,0.00,EFECTIVO,"2023-01-03 17:52:24"
"7ebf2cd3-54ce-4584-b3cc-e3662d47fc13",0.00,499.00,499.00,0.00,EFECTIVO,"2023-01-03 17:54:59"
"09c7196c-1154-4ce6-978c-57a759789f46",0.00,1279.00,1279.00,128.00,TARJETA_CREDITO,"2023-01-03 17:56:58"
adf8f726-caad-485a-abb3-087617ba7fa5,0.00,335.00,335.00,0.00,EFECTIVO,"2023-01-03 17:58:22"
dd68b5e8-6d74-4464-a351-ccc5b97646da,24.95,474.05,474.05,26.00,TARJETA_CREDITO,"2023-01-03 18:46:30"
"09c7196c-1154-4ce6-978c-57a759789f46",0.00,370.00,370.00,56.00,TARJETA_DEBITO,"2023-01-03 18:47:12"
"569a401b-fef3-4e40-ba04-28325c06634e",0.00,80.00,80.00,12.00,TARJETA_DEBITO,"2023-01-03 18:48:19"
ed083ef6-4ea0-4b60-ba17-bdb2ab3b3d8a,43.00,817.00,817.00,0.00,TARJETA_DEBITO,"2023-01-03 18:56:59"
ab06519f-cfc6-492a-a38c-ed76ca09f7ed,0.00,180.00,180.00,0.00,EFECTIVO,"2023-01-03 18:58:51"
"591b4c2a-db99-4135-9be8-c1da79a40f35",37.50,712.50,712.50,0.00,TARJETA_CREDITO,"2023-01-04 13:50:41"
"0d9c268c-978a-4a59-b3f3-9aa2571eaf88",0.00,290.00,290.00,44.00,TARJETA_CREDITO,"2023-01-04 13:52:13"
e3bee93d-a35f-412f-a3f6-3441e44b808c,0.00,180.00,180.00,40.00,TARJETA_DEBITO,"2023-01-04 13:52:55"
"09c7196c-1154-4ce6-978c-57a759789f46",9.00,171.00,171.00,17.00,TARJETA_DEBITO,"2023-01-04 13:53:52"
b49557d6-579e-46a4-ba22-b19b208afbc5,0.00,710.00,710.00,0.00,EFECTIVO,"2023-01-04 13:54:48"
"2dde6430-d911-4195-81f0-96ac092f7a48",11.50,218.50,218.50,0.00,TARJETA_DEBITO,"2023-01-04 13:56:18"
"45e39666-49f3-4bec-95ed-b4b0b4b42d6c",14.00,266.00,266.00,0.00,EFECTIVO,"2023-01-04 13:57:51"
d10cf933-c7e1-40c0-8589-c38e1a1bc09c,17.50,332.50,332.50,0.00,EFECTIVO,"2023-01-04 14:03:37"
"4f3dc07d-2998-4719-81ba-bf08d023f479",0.00,150.00,150.00,20.00,TARJETA_CREDITO,"2023-01-04 14:18:33"
"0c5b4198-ce8f-426a-950a-3e3f055876ab",0.00,75.00,75.00,25.00,TARJETA_DEBITO,"2023-01-04 16:37:46"
"19d4ee30-c48d-406f-9934-e6e4d5c3ab25",0.00,215.00,215.00,0.00,EFECTIVO,"2023-01-04 16:38:26"
"19d4ee30-c48d-406f-9934-e6e4d5c3ab25",14.40,345.60,345.60,0.00,EFECTIVO,"2023-01-04 16:40:17"
"08a8cabd-a3f3-44fb-93b2-5cedc984e42b",0.00,329.00,329.00,0.00,EFECTIVO,"2023-01-04 16:45:20"
af8ba15e-e30f-41df-9be7-13e511259a2f,0.00,305.00,305.00,0.00,EFECTIVO,"2023-01-04 16:46:16"
"29d6d040-ffda-4934-9dae-12876cfe5501",0.00,75.00,75.00,0.00,EFECTIVO,"2023-01-04 17:06:55"
"09c7196c-1154-4ce6-978c-57a759789f46",0.00,574.00,574.00,15.00,TARJETA_DEBITO,"2023-01-04 17:09:13"
"7e2cba5f-2b0c-4dfd-a4c6-00191417a889",0.00,140.00,140.00,0.00,EFECTIVO,"2023-01-04 17:13:19"
"2699751e-3f01-417e-9ffe-8ba95b323b4c",0.00,930.00,930.00,200.00,TARJETA_CREDITO,"2023-01-04 17:15:14"
"08393626-884b-4ca3-accc-57f43e719d9e",0.00,350.00,350.00,15.00,TARJETA_CREDITO,"2023-01-04 17:16:54"
"6442c1d0-6bba-4bf1-a08c-9a729dff7977",41.00,779.00,779.00,120.00,TARJETA_CREDITO,"2023-01-04 17:43:38"
d4b12075-7ed9-43a6-a6a4-f4da3b33a6fa,0.00,180.00,180.00,20.00,TARJETA_CREDITO,"2023-01-04 18:40:55"
"09c7196c-1154-4ce6-978c-57a759789f46",0.00,180.00,180.00,50.00,TARJETA_DEBITO,"2023-01-04 18:44:10"
"483bd752-d4a4-418c-acfc-2c96e5e1bfeb",0.00,374.00,374.00,60.00,TARJETA_DEBITO,"2023-01-04 18:48:10"
"96372a5a-aeaf-496e-85fd-36ce4e8b641d",0.00,180.00,180.00,0.00,EFECTIVO,"2023-01-04 18:49:45"
"09c7196c-1154-4ce6-978c-57a759789f46",0.00,299.00,299.00,0.00,TARJETA_DEBITO,"2023-01-04 19:02:49"
bcff470d-35e4-4e12-bdf6-264080e73517,0.00,370.00,370.00,0.00,TARJETA_DEBITO,"2023-01-04 19:14:20"
"11adf188-2965-4a03-b97f-ea761ee9c478",0.00,400.00,400.00,0.00,TARJETA_DEBITO,"2023-01-05 15:22:35"
"09c7196c-1154-4ce6-978c-57a759789f46",0.00,180.00,180.00,0.00,EFECTIVO,"2023-01-05 15:25:14"
bbd0f021-3490-4d2c-aee1-16b005d797d8,0.00,760.00,760.00,80.00,TARJETA_CREDITO,"2023-01-05 18:08:26"
"66c22823-2e27-45cb-b2bd-b1ae2e8eca47",0.00,590.00,590.00,0.00,TARJETA_DEBITO,"2023-01-05 18:10:10"
"43337a43-b055-407e-a263-a428ae4db665",0.00,559.00,559.00,0.00,EFECTIVO,"2023-01-05 18:11:10"
"613e45a0-9e16-46c9-99e2-8e2b6b69c789",9.00,171.00,171.00,0.00,EFECTIVO,"2023-01-05 18:11:36"
"22ad2362-f3b9-4451-9b4d-34002f9b65a2",0.00,350.00,350.00,20.00,TARJETA_DEBITO,"2023-01-05 18:18:07"
"0162c3f4-a21c-4fa3-96ce-8e806127ea0e",0.00,410.00,410.00,0.00,EFECTIVO,"2023-01-05 18:19:13"
e2c13975-9f16-4e99-81de-f0603a17edec,0.00,399.00,399.00,0.00,EFECTIVO,"2023-01-05 18:20:31"
e2c13975-9f16-4e99-81de-f0603a17edec,0.00,370.00,370.00,0.00,TARJETA_DEBITO,"2023-01-05 18:21:07"
"8361f612-9ea0-480c-b1ef-64082b233f37",19.95,379.05,379.05,70.00,TARJETA_DEBITO,"2023-01-05 18:34:26"
"8361f612-9ea0-480c-b1ef-64082b233f37",0.00,140.00,140.00,0.00,EFECTIVO,"2023-01-05 18:34:49"
f10acb3b-fb05-4856-bda9-1d14ff7d553f,0.00,680.00,680.00,0.00,EFECTIVO,"2023-01-05 18:38:53"
"050d694d-1ca4-4c11-a1d6-bab6d6318e9a",10.79,888.21,888.21,0.00,TARJETA_DEBITO,"2023-01-05 18:44:49"
"09c7196c-1154-4ce6-978c-57a759789f46",18.50,351.50,351.50,60.00,TARJETA_CREDITO,"2023-01-05 18:46:02"
"09c7196c-1154-4ce6-978c-57a759789f46",19.00,361.00,361.00,40.00,TARJETA_DEBITO,"2023-01-05 18:47:10"
ecc090f4-0270-4e07-9336-1df34baef367,0.00,590.00,590.00,40.00,TARJETA_DEBITO,"2023-01-05 18:48:17"
d24d98f3-a50c-4e17-a632-b09f9d42177f,0.00,900.00,900.00,0.00,EFECTIVO,"2023-01-05 18:50:36"
"63f102cd-bd7b-4db9-94a6-7915c8cb8c9a",0.00,1130.00,1130.00,0.00,EFECTIVO,"2023-01-05 19:16:54"
"09c7196c-1154-4ce6-978c-57a759789f46",0.00,1298.00,1298.00,0.00,EFECTIVO,"2023-01-05 19:32:42"
"09c7196c-1154-4ce6-978c-57a759789f46",0.00,730.00,730.00,0.00,EFECTIVO,"2023-01-06 17:43:13"
"102f6940-ca35-493e-a703-b9b7655f54ca",0.00,290.00,290.00,0.00,TARJETA_CREDITO,"2023-01-06 17:54:19"
c56b7b7d-8503-4aac-9a9e-674bdc275e60,0.00,280.00,280.00,0.00,EFECTIVO,"2023-01-06 17:55:13"
fff29a6b-b336-4d82-93e3-99cb0b94a8ab,0.00,140.00,140.00,0.00,EFECTIVO,"2023-01-06 17:55:42"
"09c7196c-1154-4ce6-978c-57a759789f46",0.00,230.00,230.00,35.00,TARJETA_CREDITO,"2023-01-06 17:56:18"
"6d05d5b3-9b06-4927-be5d-7f0f20dd22e6",0.00,320.00,320.00,0.00,EFECTIVO,"2023-01-06 18:01:42"
"7651bc47-148b-4457-9e38-e348c97f3739",9.00,171.00,171.00,0.00,TARJETA_CREDITO,"2023-01-06 18:02:25"
"77c43742-8cc9-4351-8c12-7526f6523c27",24.95,474.05,474.05,0.00,TARJETA_CREDITO,"2023-01-06 18:05:21"
"2c916320-d9bb-4b1b-8fa4-b17166c52c65",0.00,350.00,350.00,45.00,EFECTIVO,"2023-01-06 18:06:09"
e060735b-f933-4a10-a5f1-b3a904bc9f71,7.00,133.00,133.00,20.00,TARJETA_CREDITO,"2023-01-06 18:07:34"
"86c778e7-2276-462f-b81f-62b8f5d6fc56",0.00,590.00,590.00,118.00,TARJETA_CREDITO,"2023-01-06 18:13:13"
"12084450-b4ee-4c96-a106-c26ee7e386d9",0.00,379.00,379.00,38.00,TARJETA_DEBITO,"2023-01-06 18:14:33"
"486473a4-3fb9-47ef-a743-f13d2e426da7",0.00,300.00,300.00,0.00,TARJETA_DEBITO,"2023-01-06 18:15:36"
"6cb6dddf-bac7-430c-b1ff-609354067202",0.00,399.00,399.00,0.00,EFECTIVO,"2023-01-06 18:17:25"
f33872d3-badd-4b11-a69e-51438bc8b8d6,17.50,332.50,332.50,17.00,EFECTIVO,"2023-01-06 18:19:39"
b7df9af3-3f4f-4e13-ab90-36bf34dced34,0.00,399.00,399.00,40.00,TARJETA_DEBITO,"2023-01-06 18:21:37"
"09c7196c-1154-4ce6-978c-57a759789f46",0.00,100.00,100.00,10.00,TARJETA_CREDITO,"2023-01-06 18:22:26"
"09c7196c-1154-4ce6-978c-57a759789f46",0.00,290.00,290.00,40.00,TARJETA_CREDITO,"2023-01-06 18:27:02"
"4a05d5e4-eebd-4633-92f1-7a4f2d02f54f",0.00,410.00,410.00,0.00,TARJETA_CREDITO,"2023-01-06 18:29:04"
"09c7196c-1154-4ce6-978c-57a759789f46",13.25,251.75,251.75,0.00,TARJETA_CREDITO,"2023-01-06 18:31:45"
f9eeee44-bebb-4c73-9bf8-315843b8972f,19.95,379.05,379.05,0.00,EFECTIVO,"2023-01-06 18:43:45"
"6a3ed82d-1490-4acf-83a7-7b39715d1c03",0.00,230.00,230.00,40.00,TARJETA_CREDITO,"2023-01-06 19:06:24"
"723c621c-461e-4c13-bd95-24d08ee69dec",32.00,608.00,608.00,100.00,TARJETA_CREDITO,"2023-01-06 19:09:01"
