"total","fecha_hora_venta","servicio"
532.00,"2023-01-03 16:49:36",calcio en manos 
532.00,"2023-01-03 16:49:36",depilacion de ceja
532.00,"2023-01-03 16:49:36",depilacion de bigote
1519.00,"2023-01-03 17:05:58", acrilico retiro 
1519.00,"2023-01-03 17:05:58",acrilico manos
1519.00,"2023-01-03 17:05:58",pedi basico
90.00,"2023-01-03 17:31:20",Gel retiro 
90.00,"2023-01-03 17:31:20",Gel retiro 
180.00,"2023-01-03 17:32:01",pedi basico
75.00,"2023-01-03 17:52:24",depilacion de ceja
499.00,"2023-01-03 17:54:59",acrilico retoque 
1279.00,"2023-01-03 17:56:58",acrilico manos
1279.00,"2023-01-03 17:56:58",acrilico de color
1279.00,"2023-01-03 17:56:58",pedi basico
1279.00,"2023-01-03 17:56:58", acrilico retiro 
1279.00,"2023-01-03 17:56:58",pedi basico
1279.00,"2023-01-03 17:56:58",gel en pies
335.00,"2023-01-03 17:58:22",Gel retiro 
474.05,"2023-01-03 18:46:30",acrilico retoque 
370.00,"2023-01-03 18:47:12",pedi basico
370.00,"2023-01-03 18:47:12",gel en pies
80.00,"2023-01-03 18:48:19",calcio retoque en manos 
817.00,"2023-01-03 18:56:59",acrilico retoque 
817.00,"2023-01-03 18:56:59",depilacion de axila
180.00,"2023-01-03 18:58:51",gel en manos
712.50,"2023-01-04 13:50:41",mani dif lujo
712.50,"2023-01-04 13:50:41",pedi dif lujo
180.00,"2023-01-04 13:52:55",pedi basico
171.00,"2023-01-04 13:53:52",gel en manos
266.00,"2023-01-04 13:57:51",depilacion de axila
266.00,"2023-01-04 13:57:51",depilacion de bikini
332.50,"2023-01-04 14:03:37",acrilico retoque 
332.50,"2023-01-04 14:03:37",gel en manos
150.00,"2023-01-04 14:18:33",depilacion de ceja
150.00,"2023-01-04 14:18:33",depilacion de bigote
75.00,"2023-01-04 16:37:46",depilacion de ceja
215.00,"2023-01-04 16:38:26",pedi basico
215.00,"2023-01-04 16:38:26",mani de niña
345.60,"2023-01-04 16:40:17",mani de niña
345.60,"2023-01-04 16:40:17",mani de niña
305.00,"2023-01-04 16:46:16",acrilico uña remplazo 
305.00,"2023-01-04 16:46:16",gel en manos
305.00,"2023-01-04 16:46:16",calcio retoque en manos 
75.00,"2023-01-04 17:06:55",depilacion de ceja
574.00,"2023-01-04 17:09:13",depilacion de ceja
574.00,"2023-01-04 17:09:13",gel en manos
140.00,"2023-01-04 17:13:19",mani basico
350.00,"2023-01-04 17:16:54",acrilico retoque 
350.00,"2023-01-04 17:16:54",gel en manos
779.00,"2023-01-04 17:43:38",calcio en manos 
779.00,"2023-01-04 17:43:38",pedi dif lujo
180.00,"2023-01-04 18:40:55",gel en manos
180.00,"2023-01-04 18:44:10",gel en manos
374.00,"2023-01-04 18:48:10",acrilico uña remplazo 
180.00,"2023-01-04 18:49:45",pedi basico
370.00,"2023-01-04 19:14:20",calcio retoque en manos 
400.00,"2023-01-05 15:22:35",acrilico retoque 
180.00,"2023-01-05 15:25:14",pedi basico
760.00,"2023-01-05 18:08:26",acrilico manos
760.00,"2023-01-05 18:08:26",acrilico de color
760.00,"2023-01-05 18:08:26",pedi de lujo
760.00,"2023-01-05 18:08:26",gel en pies
559.00,"2023-01-05 18:11:10",acrilico retoque 
171.00,"2023-01-05 18:11:36",pedi basico
350.00,"2023-01-05 18:18:07",gel en manos
350.00,"2023-01-05 18:18:07",calcio en manos 
410.00,"2023-01-05 18:19:13",calcio en manos 
370.00,"2023-01-05 18:21:07",pedi basico
370.00,"2023-01-05 18:21:07",gel en pies
180.00,"2023-01-05 18:21:34",gel en manos
140.00,"2023-01-05 18:34:49",mani basico
680.00,"2023-01-05 18:38:53",pedi dif lujo
888.21,"2023-01-05 18:44:49",pedi de lujo
351.50,"2023-01-05 18:46:02",mani basico
361.00,"2023-01-05 18:47:10",pedi dif lujo
900.00,"2023-01-05 18:50:36",pedi exfo
1298.00,"2023-01-05 19:32:42",calcio en manos 
1298.00,"2023-01-05 19:32:42",acrilico retoque 
730.00,"2023-01-06 17:43:13",acrilico manos
730.00,"2023-01-06 17:43:13",acrilico de color
730.00,"2023-01-06 17:43:13",pedi basico
280.00,"2023-01-06 17:55:13", acrilico retiro 
280.00,"2023-01-06 17:55:13",pedi basico
140.00,"2023-01-06 17:55:42",calcio en manos 
171.00,"2023-01-06 18:02:25",pedi basico
350.00,"2023-01-06 18:06:09",acrilico retoque 
350.00,"2023-01-06 18:06:09",gel en manos
133.00,"2023-01-06 18:07:34",mani basico
300.00,"2023-01-06 18:15:36",acrilico manos
300.00,"2023-01-06 18:15:36",acrilico de color
332.50,"2023-01-06 18:19:39",acrilico retoque 
332.50,"2023-01-06 18:19:39",gel en manos
100.00,"2023-01-06 18:22:26", acrilico retiro 
410.00,"2023-01-06 18:29:04",gel en manos
410.00,"2023-01-06 18:29:04",gel en manos
251.75,"2023-01-06 18:31:45", acrilico retiro 
251.75,"2023-01-06 18:31:45",calcio en manos 
251.75,"2023-01-06 18:31:45",acrilico uña remplazo 
635.00,"2023-01-07 15:04:30",depilacion de bigote
635.00,"2023-01-07 15:04:30",acrilico retoque 
635.00,"2023-01-07 15:04:30",gel en manos
635.00,"2023-01-07 15:04:30",pedi express
171.00,"2023-01-07 15:05:32",gel en manos
270.00,"2023-01-07 15:06:31",gel en manos
270.00,"2023-01-07 15:06:31",acrilico uña remplazo 
270.00,"2023-01-07 15:06:31",acrilico uña remplazo 
180.00,"2023-01-07 15:09:08",pedi basico
530.00,"2023-01-07 15:11:52",Gel retiro 
530.00,"2023-01-07 15:11:52",mani express
530.00,"2023-01-07 15:11:52",Gel retiro 
530.00,"2023-01-07 15:11:52",mani express
530.00,"2023-01-07 15:11:52",depilacion de media pierna
530.00,"2023-01-07 15:11:52",depilacion de axila
600.00,"2023-01-07 15:17:27",acrilico retoque 
600.00,"2023-01-07 15:17:27",gel en manos
600.00,"2023-01-07 15:17:27",gel en manos
225.00,"2023-01-07 15:18:34",gel en manos
225.00,"2023-01-07 15:18:34",acrilico uña remplazo 
340.31,"2023-01-07 15:25:52",pedi basico
340.31,"2023-01-07 15:25:52",pedi exfo
340.31,"2023-01-07 15:25:52",mani de niña
340.31,"2023-01-07 15:25:52",pedi de niña
275.00,"2023-01-07 17:28:34",plancahdo de ceja
275.00,"2023-01-07 17:28:34",depilacion de ceja
479.00,"2023-01-07 17:43:58",pedi basico
510.00,"2023-01-07 17:46:26",acrilico manos
424.98,"2023-01-07 17:49:06",calcio en manos 
424.98,"2023-01-07 17:49:06",mani de niña
370.00,"2023-01-07 17:51:24",pedi basico
370.00,"2023-01-07 17:51:24",gel en pies
120.00,"2023-01-07 17:58:53",calcio en manos 
180.00,"2023-01-07 17:59:59",gel en manos
436.00,"2023-01-07 18:03:15",acrilico retoque 
360.00,"2023-01-07 18:05:17",Gel retiro 
360.00,"2023-01-07 18:05:17",Gel retiro 
360.00,"2023-01-07 18:05:17",pedi de lujo
210.00,"2023-01-07 18:05:49",mani de lujo
200.00,"2023-01-07 18:22:05",calcio en manos 
200.00,"2023-01-07 18:22:05",calcio retoque en manos 
45.00,"2023-01-07 19:08:51",Gel retiro 
539.00,"2023-01-10 16:58:02",mani basico
80.00,"2023-01-10 16:58:31",calcio retoque en manos 
535.80,"2023-01-10 17:00:46",calcio en manos 
535.80,"2023-01-10 17:00:46",Gel retiro 
180.00,"2023-01-10 17:19:25",pedi basico
45.00,"2023-01-10 17:20:11",Gel retiro 
430.00,"2023-01-10 18:29:23",pedi exfo
430.00,"2023-01-10 18:29:23",mani exfo
430.00,"2023-01-10 18:29:23", acrilico retiro 
430.00,"2023-01-10 18:33:38",pedi dif lujo
260.00,"2023-01-10 19:15:17",gel en manos
260.00,"2023-01-10 19:15:17",calcio retoque en manos 
220.00,"2023-01-11 13:52:25",mani exfo
521.55,"2023-01-11 14:44:54",calcio retoque en manos 
190.00,"2023-01-11 14:50:56",gel en manos
579.00,"2023-01-11 16:52:00",pedi de lujo
739.00,"2023-01-11 16:54:20",acrilico manos
739.00,"2023-01-11 16:54:20",acrilicio escultural
739.00,"2023-01-11 16:54:20",pedi dif lujo
749.00,"2023-01-11 17:26:27",acrilico manos
749.00,"2023-01-11 17:26:27",pedi basico
390.00,"2023-01-11 17:31:00",pedi express
390.00,"2023-01-11 17:31:00",gel en manos
519.00,"2023-01-11 18:10:45",acrilico de color
519.00,"2023-01-11 18:10:45",acrilicio escultural
990.00,"2023-01-11 18:16:27",acrilico manos
990.00,"2023-01-11 18:16:27",acrilicio escultural
900.00,"2023-01-11 18:43:51",acrilico manos
900.00,"2023-01-11 18:43:51",acrilicio escultural
190.00,"2023-01-11 18:53:07",gel en manos
150.00,"2023-01-11 19:04:43",mani basico
512.05,"2023-01-12 13:03:13",acrilico retoque 
209.00,"2023-01-12 13:38:08",gel en manos
369.55,"2023-01-12 13:43:42",pedi basico
369.55,"2023-01-12 13:43:42",gel en pies
512.05,"2023-01-12 13:51:42",acrilico de color
370.00,"2023-01-12 14:01:48",acrilico retoque 
370.00,"2023-01-12 14:01:48",gel en manos
410.00,"2023-01-12 14:49:12",acrilico retoque 
85.00,"2023-01-12 14:49:46",depilacion de ceja
559.55,"2023-01-12 15:00:28",calcio retoque en manos 
532.00,"2023-01-12 15:01:44",calcio en manos 
532.00,"2023-01-12 15:01:44",pedi dif lujo
199.00,"2023-01-12 15:25:30",gel en pies
190.00,"2023-01-12 15:26:00",pedi basico
